time [sec], accel [m/s^2]
3.013224609999999757e+02,3.830438852310180664e-01
3.013274549999999863e+02,-4.623906314373016357e-01
3.013324499999999944e+02,-8.731269836425781250e-01
3.013374440000000050e+02,1.745859533548355103e-01
3.013424379999999587e+02,2.673869431018829346e-01
3.013474329999999668e+02,-9.521080851554870605e-01
3.013524269999999774e+02,-2.041293621063232422e+00
3.013574209999999880e+02,-1.760470151901245117e+00
3.013624159999999961e+02,-7.155811786651611328e-01
3.013674110000000042e+02,6.356699764728546143e-02
3.013724060000000122e+02,-2.832762897014617920e-01
3.013774260000000140e+02,-8.976783752441406250e-01
3.013823939999999766e+02,-1.559343099594116211e+00
3.013873899999999821e+02,-8.800815045833587646e-02
3.013923819999999978e+02,7.054424881935119629e-01
3.013973770000000059e+02,8.773174881935119629e-01
3.014023709999999596e+02,-1.656436562538146973e+00
3.014073659999999677e+02,-1.887108087539672852e+00
3.014123599999999783e+02,-3.860961198806762695e-01
3.014173539999999889e+02,-4.471191763877868652e-01
3.014223489999999970e+02,3.117233514785766602e-01
3.014273460000000000e+02,-1.386628508567810059e+00
3.014323379999999588e+02,-1.411840438842773438e+00
3.014373319999999694e+02,-2.586734592914581299e-01
3.014423269999999775e+02,-9.262166023254394531e-01
3.014473209999999881e+02,-8.629736900329589844e-01
3.014523149999999987e+02,5.977473855018615723e-01
3.014573090000000093e+02,7.453544735908508301e-01
3.014623039999999605e+02,-2.373008012771606445e+00
3.014673099999999977e+02,-1.458834052085876465e+00
3.014722929999999792e+02,1.317945480346679688e+00
3.014772869999999898e+02,9.388089776039123535e-01
3.014822819999999979e+02,-2.276153087615966797e+00
3.014872760000000085e+02,-1.774694323539733887e+00
3.014922699999999622e+02,-4.241255223751068115e-01
3.014972649999999703e+02,-1.238913774490356445e+00
3.015022599999999784e+02,-9.997650384902954102e-01
3.015072539999999890e+02,2.344429790973663330e-01
3.015122509999999920e+02,-3.049767017364501953e-01
3.015172479999999950e+02,-2.504621267318725586e+00
3.015222369999999614e+02,-1.091043829917907715e+00
3.015272309999999720e+02,1.210881948471069336e+00
3.015322249999999826e+02,-4.735600948333740234e-01
3.015372199999999907e+02,-2.467562913894653320e+00
3.015422149999999988e+02,3.591298460960388184e-01
3.015472090000000094e+02,2.653361260890960693e-01
3.015522090000000048e+02,-3.573909759521484375e+00
3.015572080000000028e+02,-1.087563991546630859e+00
3.015621919999999818e+02,2.168671369552612305e+00
